Ref_Date,GEO,EST,Vector,Coordinate,Value
1908,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,20800.00
1909,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,20700.00
1910,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,26200.00
1911,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,26500.00
1912,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,27000.00
1913,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,26000.00
1914,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,26900.00
1915,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,29900.00
1916,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,32000.00
1917,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,34400.00
1918,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,45000.00
1919,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,42000.00
1920,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,37000.00
1921,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,38100.00
1922,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,38800.00
1923,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,28500.00
1924,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,28700.00
1925,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,28100.00
1926,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,28300.00
1927,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,27700.00
1928,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,31100.00
1929,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,30400.00
1930,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,31700.00
1931,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,37900.00
1932,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,32400.00
1933,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,36400.00
1934,Manitoba,"Seeded area, potatoes (acres)",v47146,8.1,41700.00
