Ref_Date,GEO,EST,Vector,Coordinate,Value
1908,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,43800.00
1909,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,43900.00
1910,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,30800.00
1911,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,30800.00
1912,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,32000.00
1913,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,32000.00
1914,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,32500.00
1915,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,33700.00
1916,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,34500.00
1917,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,41000.00
1918,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,51200.00
1919,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,62100.00
1920,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,50100.00
1921,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,39200.00
1922,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,38100.00
1923,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,27600.00
1924,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,29100.00
1925,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,27900.00
1926,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,29500.00
1927,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,31600.00
1928,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,30700.00
1929,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,30800.00
1930,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,31200.00
1931,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,22700.00
1932,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,20600.00
1933,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,20500.00
1934,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,21900.00
1935,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,20600.00
1936,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,20600.00
1937,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,22000.00
1938,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,21200.00
1939,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,21400.00
1940,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,22900.00
1941,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,18600.00
1942,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,20500.00
1943,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,22100.00
1944,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,21400.00
1945,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,18400.00
1946,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,17900.00
1947,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,15600.00
1948,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,14700.00
1949,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,13800.00
1950,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,13400.00
1951,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,11300.00
1952,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,12000.00
1953,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,12400.00
1954,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,10800.00
1955,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,11800.00
1956,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,10200.00
1957,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,10000.00
1958,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,9800.00
1959,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,8600.00
1960,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,8000.00
1961,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,8100.00
1962,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,6400.00
1963,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,6200.00
1964,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5800.00
1965,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5800.00
1966,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,6200.00
1967,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4900.00
1968,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5000.00
1969,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4300.00
1970,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4500.00
1971,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3500.00
1972,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3500.00
1973,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3800.00
1974,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3900.00
1975,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3600.00
1976,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3700.00
1977,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3800.00
1978,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3800.00
1979,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3900.00
1980,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4000.00
1981,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3800.00
1982,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4000.00
1983,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3900.00
1984,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4100.00
1985,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4200.00
1986,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4033.00
1987,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4200.00
1988,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4100.00
1989,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4300.00
1990,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4500.00
1991,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4400.00
1992,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4500.00
1993,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4500.00
1994,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4600.00
1995,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4700.00
1996,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4750.00
1997,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,4800.00
1998,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5000.00
1999,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5100.00
2000,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5200.00
2001,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5200.00
2002,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5500.00
2003,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5300.00
2004,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,5000.00
2005,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,3500.00
2006,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,2600.00
2007,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,2500.00
2008,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,2200.00
2009,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,2300.00
2010,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,2000.00
2011,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,2000.00
2012,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,1900.00
2013,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,1900.00
2014,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,1725.00
2015,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,1624.00
2016,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,1774.00
2017,Nova-Scotia,"Seeded area, potatoes (acres)",v47142,4.1,1750.00
1985,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4200.00
1986,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,3800.00
1987,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4200.00
1988,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4100.00
1989,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4300.00
1990,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4500.00
1991,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4300.00
1992,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4500.00
1993,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4500.00
1994,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4600.00
1995,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4700.00
1996,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4700.00
1997,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4600.00
1998,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4800.00
1999,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4800.00
2000,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,5200.00
2001,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,5200.00
2002,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,5500.00
2003,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,5200.00
2004,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,4800.00
2005,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,3300.00
2006,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,2600.00
2007,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,2500.00
2008,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,2200.00
2009,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,2200.00
2010,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,2000.00
2011,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,2000.00
2012,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,1900.00
2013,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,1900.00
2014,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,1725.00
2015,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,1200.00
2016,Nova-Scotia,"Harvested area, potatoes (acres)",v47197,4.6,1600.00
1908,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,108.0
1909,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,124.4
1910,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,68.8
1911,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,110.5
1912,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,177.1
1913,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,100.7
1914,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,132.3
1915,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,84.7
1916,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,120.6
1917,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,105.0
1918,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,114.6
1919,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,96.5
1920,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,122.3
1921,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,98.2
1922,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,97.0
1923,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,120.0
1924,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,106.9
1925,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,92.1
1926,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,105.6
1927,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,84.8
1928,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,106.8
1929,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,93.2
1930,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,107.0
1931,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,85.7
1932,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,103.0
1933,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,91.0
1934,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,112.0
1935,Nova-Scotia,"Average yield, potatoes (hundredweight per harvested acres)",v47153,4.2,101.3
