Ref_Date,GEO,EST,Vector,Coordinate,Value
1908,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,183300.00
1909,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,181000.00
1910,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,158400.00
1911,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,157000.00
1912,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,158000.00
1913,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,152000.00
1914,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,154000.00
1915,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,155000.00
1916,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,133000.00
1917,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,142000.00
1918,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,166200.00
1919,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,157300.00
1920,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,157500.00
1921,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,164100.00
1922,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,172900.00
1923,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,164700.00
1924,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,169100.00
1925,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,163800.00
1926,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,153500.00
1927,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,159900.00
1928,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,181200.00
1929,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,148400.00
1930,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,159000.00
1931,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,171200.00
1932,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,156000.00
1933,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,157500.00
1934,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,164300.00
1935,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,149200.00
1936,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,145000.00
1937,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,150600.00
1938,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,146200.00
1939,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,142100.00
1940,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,146800.00
1941,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,123000.00
1942,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,119000.00
1943,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,108000.00
1944,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,107000.00
1945,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,99600.00
1946,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,98400.00
1947,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,89800.00
1948,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,87300.00
1949,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,84900.00
1950,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,78700.00
1951,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,54900.00
1952,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,56100.00
1953,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,63000.00
1954,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,56500.00
1955,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,55900.00
1956,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,53700.00
1957,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,54000.00
1958,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,54000.00
1959,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,50000.00
1960,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,51000.00
1961,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,51500.00
1962,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,49900.00
1963,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,51000.00
1964,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,51000.00
1965,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,52000.00
1966,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,52100.00
1967,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,48000.00
1968,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,45000.00
1969,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,45500.00
1970,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,47500.00
1971,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,40100.00
1972,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,43100.00
1973,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,41800.00
1974,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,45700.00
1975,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,44200.00
1976,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,45500.00
1977,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,48100.00
1978,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,44400.00
1979,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,45000.00
1980,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,40900.00
1981,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,39100.00
1982,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,39000.00
1983,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,37300.00
1984,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,38300.00
1985,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,36100.00
1986,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,34940.00
1987,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,36500.00
1988,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,35000.00
1989,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,33500.00
1990,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,34000.00
1991,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,35100.00
1992,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,35000.00
1993,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,34300.00
1994,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,35100.00
1995,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,38400.00
1996,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,39900.00
1997,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,38800.00
1998,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,43100.00
1999,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,43500.00
2000,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,43800.00
2001,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,43600.00
2002,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,43700.00
2003,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,44900.00
2004,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,40000.00
2005,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,36300.00
2006,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,38100.00
2007,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,37000.00
2008,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,36000.00
2009,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,37000.00
2010,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,38500.00
2011,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,37400.00
2012,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,39800.00
2013,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,38000.00
2014,Ontario,"Seeded area, potatoes (acres)",v47145,7.1,35500.00
